,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-03-31,10.316963161871124,2.669423730980995,0.6949091283287303,0.6577029244663803,2.1409970741987165,0.1250861592330209,1980-01-31,2002-12-31,2003-03-31
2003-04-30,8.970954445900817,16.757779012456748,0.6969737380032579,0.6600193158085332,2.18774994312754,-0.31780441926748426,1980-02-29,2003-01-31,2003-04-30
2003-05-31,9.35434719385465,17.45345780742414,0.692478707378009,0.6549761107167905,2.227456320638343,-0.2914406218586312,1980-03-31,2003-02-28,2003-05-31
2003-06-30,8.420090379199207,-4.630642905016515,0.6966488936898014,0.6596548563348992,2.2661161844903366,-3.4973686343878283,1980-04-30,2003-03-31,2003-06-30
2003-07-31,4.432268540759528,8.394473775095042,0.699260873499021,0.6625853702671942,2.2958456088241963,-2.439532938822975,1980-05-31,2003-04-30,2003-07-31
2003-08-31,2.564065316532662,24.53414992678136,0.6997447125963306,0.6631282141324685,2.3326112645105264,-9009.188613735687,1980-06-30,2003-05-31,2003-08-31
2003-09-30,2.2039525782049973,22.249191001193815,0.7106891158682807,0.6754073007302661,2.371261186418306,-14353.42761126186,1980-07-31,2003-06-30,2003-09-30
2003-10-31,1.5672947269748243,-14.069001788163336,0.7155647816437347,0.6808775598929706,2.399226185124617,-352.25856583211385,1980-08-31,2003-07-31,2003-10-31
2003-11-30,2.8812769120878747,-26.462445704896957,0.7251239416504736,0.6916024711200435,2.4452951217980967,-4528.953213357753,1980-09-30,2003-08-31,2003-11-30
2003-12-31,1.5182660232090492,30.817767926996943,0.725737103748407,0.6922904090835786,2.4747765423660595,-937.2983954551646,1980-10-31,2003-09-30,2003-12-31
2004-01-31,2.355015127640403,28.9434818298693,0.7240390114585002,0.6903852323680735,2.503600451423966,-32019.99011688226,1980-11-30,2003-10-31,2004-01-31
2004-02-29,1.8176463947175112,2.60398298591368,0.7245264798129978,0.6909321480828755,2.5222224515947147,-0.2455501244228,1980-12-31,2003-11-30,2004-02-29
2004-03-31,2.6266776621516463,-24.725515614768785,0.7360827386800808,0.703897706811798,2.5450140652384086,-112182.06562770267,1981-01-31,2003-12-31,2004-03-31
2004-04-30,0.061127652821366986,-15.684711758697846,0.7298149351935695,0.6968655370464438,2.587366648900439,-37.84926136947022,1981-02-28,2004-01-31,2004-04-30
2004-05-31,-2.539500804014722,3.604634977282247,0.7257961264366555,0.6923566296606378,2.621429506222294,-0.41731250886718474,1981-03-31,2004-02-29,2004-05-31
2004-06-30,-2.056352216850601,31.684163171899616,0.7235951043279721,0.6898871902216273,2.6583197475805145,-50.21538743851,1981-04-30,2004-03-31,2004-06-30
2004-07-31,0.988199909437316,-23.63553647486762,0.7155667412792435,0.6808797585084194,2.7097008140651075,-203.59423664460388,1981-05-31,2004-04-30,2004-07-31
2004-08-31,2.898239254117516,37.66791625729801,0.7088886889357637,0.6733873095376861,2.7674120207798807,-70631.56828554162,1981-06-30,2004-05-31,2004-08-31
2004-09-30,0.12635314366225212,-40.96439944942078,0.7059540535788855,0.6700947918202129,2.8110750396505626,-233.2553841616358,1981-07-31,2004-06-30,2004-09-30
2004-10-31,1.844234209978846,-33.84117873829303,0.7024767157830059,0.66619338843947,2.842097536930715,-1277.9080754295521,1981-08-31,2004-07-31,2004-10-31
2004-11-30,0.8461692978252123,56.365299597736964,0.7026001090508105,0.666331829666763,2.8511822406891696,-765.7449914831166,1981-09-30,2004-08-31,2004-11-30
2004-12-31,0.4438968689553352,-42.637159170934666,0.6994559880036371,0.6628042792235928,2.8721189718896087,-313.77183452389085,1981-10-31,2004-09-30,2004-12-31
2005-01-31,-0.2832347746715872,50.58065694350295,0.702097229817303,0.6657676236974619,2.8924132772443554,-255.53961725482117,1981-11-30,2004-10-31,2005-01-31
2005-02-28,-2.029615270246692,4.483892760720776,0.7048378338345456,0.6688424477168071,2.8942214237879775,-0.7499378505296888,1981-12-31,2004-11-30,2005-02-28
2005-03-31,-3.13889857551884,52.93111008606409,0.7112814260394669,0.676071843849158,2.8948093621730573,-85.3560318481098,1982-01-31,2004-12-31,2005-03-31
2005-04-30,0.5372925676508864,50.12392277964993,0.7095636043867569,0.6741445317509955,2.8937202951905836,-441.81359177508546,1982-02-28,2005-01-31,2005-04-30
2005-05-31,1.5573759133372258,52.73002729562855,0.7130877523205654,0.6780984538230734,2.900952627791062,-1449.6107846363939,1982-03-31,2005-02-28,2005-05-31
2005-06-30,1.1541684968655406,60.39280397291514,0.7258287635237952,0.6923932468803555,2.909793739720806,-1137.535192372656,1982-04-30,2005-03-31,2005-06-30
2005-07-31,-0.3895819919686606,48.999605596898974,0.7247979005973049,0.6912366689628298,2.8977622542694257,-224.72174263563946,1982-05-31,2005-04-30,2005-07-31
2005-08-31,-1.0841684661816269,2.9794111167641346,0.7236232810126655,0.6899188030873807,2.8672104401729435,-0.05759693841623714,1982-06-30,2005-05-31,2005-08-31
2005-09-30,-1.9393754976464608,44.49006766099976,0.7174305967711032,0.682970913450506,2.808078354302222,-94.64569923613261,1982-07-31,2005-06-30,2005-09-30
