,feature,AdjR2,pvalues
step1,tech_class9,0.6862492926919586,0.9961482140113691
step2,RV,0.6872257451190825,0.9749647559354903
step3,AggLiq,0.6881930955811817,0.9488853573322366
step4,tech_class2,0.6891511182344354,0.9306448129092586
step5,output_and_income,0.6900964847750108,0.903776959472208
step6,money,0.6910377750170029,0.9097953515642621
step7,CMA,0.6919458958382524,0.8381281204648476
step8,tech_class1,0.6928194589324529,0.7876000720614226
step9,RiF,0.6936768295620835,0.7714469743136473
step10,tech_class0,0.6944785448909314,0.7095834084565715
step11,SizeBM,0.6952458115786586,0.6792645183127796
step12,bond_ex,0.6958942222175837,0.5869279763745405
step13,tech_class3,0.6964026043299116,0.5051902807401475
step14,CLI_allPca,0.6969814290386798,0.5460903559057249
step15,InnovLiq,0.697511763928842,0.5196638270392828
step16,tech_class7,0.6979659025670026,0.4812905286018768
step17,RJ,0.698367239812926,0.4574006367340636
step18,tech_class8,0.698756209774891,0.45261014073347217
step19,TradedLiq,0.6989962717303566,0.3932808256971474
step20,AmihudLiq,0.6990256987553001,0.3261682643512338
step21,SMB,0.6980265093794387,0.14548464576288486
step22,RMW,0.6971227753475606,0.15610143695510625
